bd_id,da_out,da_act
ANI014OA1001C,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
AGA056TH2006A,0.00,0.00
,0.00,0.00
ENG,0.00,0.00
ANV0086A1058A,0.00,0.00
AAB008YQ3013A,0.00,0.00
AAB008YQ3022A,0.00,0.00
AAB008YQ3020A,0.00,0.00
AVF040YF4002A,0.00,0.00
ABU078EA4001A,0.00,0.00
ANV153XT9103A,0.00,0.00
ABU200KX2002A,0.00,0.00
AGJ252X20003A,0.00,0.00
AAS008YQ2016A,0.00,0.00
AAS060NR2004A,0.00,0.00
ABU048MA7002A,0.00,0.00
ABU096EA3001A,0.00,0.00
ABU096EF2001A,0.00,0.00
ABU200KX1001D,0.00,0.00
ABU008YQ2002A,0.00,4.32
ABU008YQ2003A,0.00,0.00
AMS078C93001B,0.00,6.72
AMS090NC4003A,0.00,0.00
AAW016D53004A,0.00,0.00
AAW048TP1026E,0.00,0.00
,0.00,0.00
,0.00,0.00
,0.00,0.00
,0.00,0.00
ANV0086A1065A,0.00,0.00
ANV0086A1061A,0.00,0.00
ANV0086A1061A,0.00,0.00
ANV0086A1069A,0.00,0.00
ANV0086A1082A,0.00,0.00
ANV0086A1078A,0.00,0.00
ANV0086A1061A,0.00,0.00
ANV0086A1106A,0.00,0.00
ANV153XT9069A,0.00,0.00
ANV345XTG002A,0.00,0.00
ANV345XTC011A,0.00,0.00
ATH240UE2001A,0.00,0.00
,0.00,0.00
,0.00,0.00
,0.00,0.00
AAB008YQ2038A,0.00,0.00
AAB024XJ6008A,0.00,0.00
AAB084RB2001A,0.00,0.00
AYZ096EI1001A,0.00,0.00
,0.00,0.00
,0.00,0.00
,0.00,0.00
ENG,0.00,0.00
,0.00,0.00
ABW032YF1006B,0.00,0.00
ABW048AC1013A,0.00,0.00
AKX048TP2001A,0.00,0.00
ACS054TS1009A,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008YK3002A,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI014OA1001C,0.00,0.00
ANI014OA1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
AHQ0442J3005A,0.00,0.00
AHQ0442J3005A,0.00,0.00
AAS008YQ2014A,0.00,0.00
AQW024MAA014A,0.00,0.00
AGA056TH2005A,0.00,0.00
ABU096EA1001A,0.00,0.00
ATO132Y23001A,0.00,0.00
AAS008YM2024A,0.00,0.00
AAS008YQ3001A,0.00,0.00
AAS063NW3011A,0.00,0.00
AAS067N51014A,0.00,0.00
