bom_id,oper,part_id,qty
IA000026,2021,1071F28502,0.059
IA000026,3720,1011CA234A,0.013
XT153113,2052,1221C20036,5000.000
XT153113,2052,1221R20005,2000.000
XT153113,2070,121101941A,1000.000
XT153113,2430,1011TR439A,7.237
XT153113,2070,1241F6317A,0.200
XT153113,2130,1071F76004,2.272
XT153113,2200,1091A07C41,89.436
XT153113,2300,10819740Z3,0.204
XT153113,2052,1101T70525,8.680
XT153113,2070,SUBMATWNV287,1000.000
XT153113,2130,SUBMATWNV288,2000.000
XT153113,2052,SUBMATSNV149,1000.000
XT153113,2410,1101L75830,153.000
IA000060,3720,1011CA265A,0.008
IA000097,3720,1011CA308A,0.008
IA000112,3720,1011CA312A,0.008
OA014603,2300,10819240H5,0.000
OA014603,2070,120100163A,0.000
OA014603,3720,1011CA296A,0.014
OA014603,2070,1241FAC26S,0.000
IA000031,3720,1011CA232B,0.008
OL014602,2070,120100167A,0.000
OL014602,2300,108192HF36,0.000
OL014602,3720,1011CA296A,0.014
OL014602,2070,1241FAC26S,0.000
Y3012603,2300,10819240H5,0.000
Y3012603,2070,120100153A,0.000
Y3012603,3720,1011CA295A,0.014
Y3012603,2070,1241FAC26S,0.000
YU020603,2070,1071F76004,0.000
YU020603,2200,1091A08T41,0.000
YU020603,2300,108192HF36,0.000
YU020603,2070,120100185B,0.000
YU020603,3720,1011CA176A,0.014
Y1012604,2070,120100158A,0.000
Y1012604,2070,1071P10764,0.000
Y1012604,2200,1091A08T41,0.000
Y1012604,2300,1081G700L1,0.000
Y1012604,3720,1011CA104A,0.014
XT345075,2052,1221C20016,7000.000
XT345075,2052,1221I20010,1000.000
XT345075,2052,1221R20006,2000.000
XT345075,2052,1221R20005,1000.000
XT345075,2052,1221BA0006,1000.000
XT345075,2052,1221S50002,1000.000
XT345075,2070,121102197A,1000.000
XT345075,2430,1011TR755A,7.237
XT345075,2070,1071F76004,0.944
XT345075,2130,1071F76004,0.151
XT345075,3130,1071F76004,0.317
XT345075,3330,1071F310JB,1.645
XT345075,4130,1071F76001,4.935
XT345075,4330,1071F76001,1.645
XT345075,4530,1071F76001,4.935
XT345075,2200,1091A07C41,250.996
XT345075,3200,1091A07C41,138.704
XT345075,3400,1091A07C41,133.940
XT345075,2300,1081GE100C,0.324
XT345075,2052,1101T70525,8.680
XT345075,2410,1101L70528,345.000
XT345075,2052,SUBMATSNV332,1000.000
XT345075,2070,SUBMATWNV070,1000.000
XT345075,2130,SUBMATWNV069,1000.000
XT345075,3130,SUBMATWNV157,1000.000
XT345075,3330,SUBMATWNV310,1000.000
XT345075,4130,SUBMATWNV311,3000.000
XT345075,4330,SUBMATWNV312,1000.000
XT345075,4530,SUBMATWNV311,3000.000
OK008601,2300,10819240H5,0.000
OK008601,2070,120100022A,0.000
OK008601,3720,1011CA254A,0.014
OK008601,2070,1241FAC26S,0.000
Y3012604,2300,10819240H5,0.000
Y3012604,2070,120100155A,0.000
Y3012604,3720,1011CA295A,0.014
Y3012604,2070,1241FAC26S,0.000
YU020604,2070,1071F76004,0.000
YU020604,2200,1091A08T41,0.000
YU020604,2300,108192HF36,0.000
YU020604,2070,120100185B,0.000
YU020604,3720,1011CA176A,0.014
YU020611,2070,1071F76004,0.000
YU020611,2200,1091A08T41,0.000
YU020611,2300,108192HF36,0.000
YU020611,2070,120100185B,0.000
YU020611,3720,1011CA176A,0.014
YK010632,2070,120101077A,0.000
YK010632,2070,1071P10764,0.000
YK010632,2200,1091A08T41,0.000
YK010632,2300,108192HF42,0.000
YK010632,3720,1011CA106A,0.014
IA000013,3720,1011CA190A,0.027
OF016606,3720,1011CA214A,0.014
OF016606,2070,120100169A,0.000
OF016606,2300,108192HF36,0.000
OF016606,2070,1241FAC26S,0.000
YK008646,2070,120101106A,0.000
YK008646,2070,1071P10764,0.000
