product,process_id,bom_id
0086ANV163,0086A139,6A008192
020YUNI330,020YU002,YU020604
000IAQR039,000IA298,IA000143
0282JHQ034,0282J028,2J028035
000IABW144,000IA333,IA000158
000IABW074,000IA147,IA000064
012Y3NI198,012Y3002,Y3012603
020YUNI335,020YU002,YU020604
0086ANV162,0086A138,6A008191
0086ANV161,0086A137,6A008190
0086ANV207,0086A171,6A008238
0086ANV136,0086A099,6A008143
0086ANV173,0086A148,6A008206
000IABW064,000IA125,IA000050
000IABW040,000IA085,IA000025
014OLNI030,014OL001,OL014602
012Y3NI143,012Y3001,Y3012604
048TVOK008,048TV158,TV048078
000IAQR014,000IA203,IA000096
078EPRK001,078EP007,EP078012
000IAXI001,000IA119,IA000038
054TSAB006,054TS017,TS054017
000IABW075,000IA149,IA000065
060CACD003,060CA010,CA060010
048XJIS032,048XJ018,XJ048018
020YUNI337,020YU006,YU020611
020YUNI041,020YU006,YU020611
014OANI053,014OA002,OA014603
020YUNI341,020YU002,YU020604
012Y3NI137,012Y3002,Y3012603
012Y3NI183,012Y3001,Y3012604
048TVOK005,048TV155,TV048075
078EPRK003,078EP009,EP078012
064RKVG001,064RK002,RK064002
000IABW143,000IA325,IA000122
000IABW028,000IA068,IA000001
0086BEU006,0086B019,6B008025
060NRGA003,060NR013,NR060013
0086ANV164,0086A140,6A008193
0086ANV208,0086A138,6A008191
020YUNI331,020YU002,YU020604
008YZNI035,008YZ006,YZ008604
008Y7NI029,008Y7001,Y7008602
000IAQR004,000IA281,IA000045
024MAVG009,024MA186,MA024199
178NNAB002,178NN002,NN178002
132NYLW034,132NY044,NY132050
008OKNI093,008OK001,OK008601
009YZNI012,009YZ001,YZ009602
020YUNI033,020YU001,YU020603
345XTNV066,345XT046,XT345068
000IAQR012,000IA184,IA000087
064RKVG004,064RK005,RK064006
0008WAW094,048TP199,8W000A01
012Y3NI129,012Y3002,Y3012603
020YUNI276,020YU002,YU020604
012Y3NI003,012Y3002,Y3012002
0086ANV210,0086A172,6A008239
0086ANV211,0086A173,6A008240
008OKNI095,008OK001,OK008601
012Y3NI150,012Y3002,Y3012603
012Y3NI200,012Y3002,Y3012603
132X2NV201,132X2355,X2132422
000IAQR007,000IA163,IA000075
000IAQR024,000IA236,IA000096
100X6VG009,100X6007,X6100013
056THYU003,056TH172,TH056174
