pkg_type,process_id,version,detail_id,remark,
	T,	016D5012       ,	 O,	S22000102,	A0803CB0934(KNS)                        ,
	T,	200N7040       ,	 B,	S22000102,	A0801CB1032(UTC)                        ,
	T,	200N7040       ,	 B,	S22000102,	A0803CB1032(KNS)                        ,
	T,	048MA323       ,	 C,	S22000102,	A0801CB0533(UTC)                        ,
	T,	048MA269       ,	 L,	S22000102,	A0801CB0248                             ,
	T,	048TG295       ,	 U,	S22000102,	A0801CB0325                             ,
	T,	048MA354       ,	 C,	S22000102,	A0801CB0248                             ,
	T,	064AE201       ,	 C,	S22000102,	A0803CB0316                             ,
	T,	048MA370       ,	 A,	S22000102,	A0801CB0248(UTC)                        ,
	T,	048MA370       ,	 A,	S22000102,	A0803CB0248(KNS)                        ,
	T,	096EL089       ,	 B,	S22000102,	A0801CB1141(UTC)                        ,
	T,	096EL089       ,	 B,	S22000102,	A0803CB1141(KNS)                        ,
	T,	134KM001       ,	 D,	S22000102,	A0801CB1106(UTC)                        ,
	T,	134KM001       ,	 D,	S32000102,	A0801CB1106 (UTC)                       ,
	T,	0442J037       ,	 A,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0442J037       ,	 A,	S32000102,	A0803CB1294(KNS)                        ,
	T,	048XW002       ,	 D,	S22000102,	A0801CB1129(UTC)                        ,
	T,	048XW002       ,	 D,	S32000102,	A0801CB1129(UTC)                        ,
	T,	132X2386       ,	 A,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2386       ,	 A,	S22000102,	A0803CB1295(KNS)                        ,
	T,	132X2386       ,	 A,	S32000102,	A0801CB1176(UTC)                        ,
	T,	132X2386       ,	 A,	S32000102,	A0803CB1295(KNS)                        ,
	T,	048TR043       ,	 F,	S22000102,	A0801CB1192(UTC)                        ,
	T,	048TR043       ,	 F,	S22000102,	A0803CB1192(KNS)                        ,
	T,	132X2383       ,	 A,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2383       ,	 A,	S22000102,	A0803CB1295(KNS)                        ,
	T,	016D5020       ,	 H,	S22000102,	A0801CB0934(UTC)                        ,
	T,	016D5020       ,	 H,	S22000102,	A0803CB0934(KNS)                        ,
	T,	192X8003       ,	 A,	S22000102,	A0803CB1295(KNS)                        ,
	T,	024XW0015      ,	 C,	S22000102,	A0801CB1190(UTC)                        ,
	T,	024XW0015      ,	 C,	S22000102,	A0803CB1097(KNS)                        ,
	T,	024XW0015      ,	 C,	S32000102,	A0801CB1190(UTC)                        ,
	T,	024XW0015      ,	 C,	S32000102,	A0803CB1097(KNS)                        ,
	T,	008YD106       ,	 G,	S22000102,	A0803CB0635(KNS)                        ,
	T,	063NW025       ,	 I,	S22000102,	A0801CB0619                             ,
	T,	096EL060       ,	 E,	S22000102,	A0801CB1127(UTC)                        ,
	T,	008YQ204       ,	 A,	S22000102,	A0803CB1365(KNS)                        ,
	T,	008YQ204       ,	 A,	S32000102,	A0803CB1365(KNS)                        ,
	T,	008YQ207       ,	 A,	S22000102,	A0803CB1365(KNS)                        ,
	T,	162KE005       ,	 N,	S22000102,	A0801CB0818 (UTC)                       ,
	T,	162KE005       ,	 N,	S22000102,	A0803CB0818 (KNS)                       ,
