product,pin_package,body_size,bd_id,route,process_id,bom_id,packing_id,gross_dies,
	008OKNI052               ,	FCQFN-08OK2D,	1*1.2*0.55          ,	ANI008OK2001A       ,	PACK171   ,	008OK001       ,	OK008601  ,	NIOK01A        ,	46407,
	014OLNI036               ,	FCQFN-14OL2D,	1.6*2*0.55          ,	ANI014OL1001C       ,	PACK171   ,	014OL001       ,	OL014602  ,	NIOL01A        ,	12728,
	008OKNI056               ,	FCQFN-08OK2D,	1*1.2*0.55          ,	ANI008OK2001A       ,	FC012     ,	008OK001       ,	OK008601  ,	NIOK01A        ,	46407,
	000SNV405                ,	SMT         ,	11.5*13*1.0         ,	ANV153XT9070A       ,	SMT001    ,	153XT190       ,	XT153246  ,	NVXT02A        ,	0,
	048TRNV091               ,	TSOP1-48MR-C,	12*20               ,	ANV048TR2033A       ,	CON952    ,	048TR091       ,	TR048100  ,	NVTR02A        ,	1240,
	319UKNV002               ,	FCCSP319A3G ,	9*12*1.1            ,	ANV319UK1001A       ,	FCBGA020  ,	319UK002       ,	UK319003  ,	NVUK01A        ,	5921,
	0008WVG068               ,	MAT         ,	                    ,	                    ,	MAT444    ,	0008WA473      ,	8W000A01  ,	VGX601A        ,	1064,
	008Y6VG008               ,	DFN-08Y62D  ,	3*4*0.55            ,	ABU008Y62011A       ,	QFNS282   ,	008Y6100       ,	Y6008104  ,	VGY602A        ,	15745,
	0008WNV180               ,	MAT         ,	                    ,	                    ,	MAT604    ,	0086A038       ,	8W000A01  ,	NV6A02A        ,	29342,
	0008WCME536ENG           ,	SWSBT       ,	                    ,	                    ,	MAT107    ,	0008WE79ENG    ,	8M000A20  ,	NVX204A        ,	0,
	084UCCM137ENG            ,	FBGA-84UC(2),	8*12.5*1.2          ,	ABU084CC2004B       ,	BGA140    ,	084UC288ENG    ,	CC084074  ,	BUCC01A        ,	2901,
	088Y2CME002ENG           ,	QFN88Y23AW  ,	10*10*0.75          ,	AMF088Y23001A       ,	MQFNS045  ,	088Y2003       ,	Y2088E001 ,	MFY201A        ,	1070,
	136XZCME004ENG           ,	STBGA136X4V ,	10*10*0.90          ,	AAS136XZ4003A       ,	MBGA265   ,	136XZ002       ,	XZ136E02  ,	ASXZ01A        ,	1058,
	132X2CM109ENG            ,	STBGA132C4V ,	12*18*1.35          ,	ANV132X2B034A       ,	MBGA792   ,	132X2386       ,	X2132457  ,	NVX204A        ,	1030,
	008YDCME26ENG            ,	STDFN-08YD2A,	6*5*0.75            ,	AAS008YD2044A       ,	MQFNS048  ,	008YDE12ENG    ,	YD008E15  ,	ASYD01A        ,	4620,
	132X2CME67ENG            ,	STBGA132G4VT,	12*18*1.2           ,	ANV132X2C059A       ,	MBGA873   ,	132X23382      ,	X2132E78  ,	NVX204A        ,	1240,
	153XTCM127ENG            ,	SSBGA153JAVT,	11.5*13*1.0         ,	ABU153XT9017A       ,	MBGA373   ,	153XT198       ,	XT153256  ,	VGXT01A        ,	9187,
	008YDCME29ENG            ,	DFN-08YD4AW ,	6*5*0.75            ,	AAB008YD4003A       ,	QFNS250   ,	008YD136       ,	YD008157  ,	ABYD01A        ,	3584,
	008YQCME58               ,	STDFN08YQ3AW,	8*6*0.75            ,	AAB008YQ3004A       ,	MQFNS040  ,	008YQ188       ,	YQ008E77  ,	ABYQ03A        ,	3688,
	096ELCM041ENG            ,	FBGA96UEL(2),	7.5*13*1.0          ,	ACD096EL1001A       ,	BGA140    ,	096EL035       ,	EL096039  ,	CDEL01A        ,	2302,
	060CACM010ENG            ,	FBGA-60MA   ,	8*13*1.2            ,	ACD060CD3003A       ,	BGA140    ,	060CA011       ,	CA060011  ,	CDCD01A        ,	4313,
	000SNV149                ,	SMT         ,	11.5*13*0.8         ,	TDANV153XT8028A-A   ,	SMT001    ,	153XT081       ,	XT153113  ,	NVXT02A        ,	0,
	0008WNV366               ,	MAT         ,	                    ,	                    ,	MAT46     ,	0008WA109      ,	8W000A01  ,	NVXT02A        ,	791,
	020YUNI116               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	014OLNI032               ,	FCQFN-14OL2D,	1.6*2*0.55          ,	ANI014OL1001C       ,	PACK171   ,	014OL001       ,	OL014602  ,	NIOL01A        ,	12728,
	020YUNI143               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	008YZNI044               ,	FCDFN-08YZ2A,	1.5*2*0.75          ,	ANI008YZ1001D       ,	PACK171   ,	008YZ006       ,	YZ008604  ,	NIYZ01A        ,	17263,
	020YUNI135               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1001M       ,	PACK171   ,	020YU001       ,	YU020603  ,	NIYU04A        ,	14409,
	012Y3NI162               ,	FCQFN-12Y32D,	1.6*1.6*0.55        ,	ANI012Y32002D       ,	PACK171   ,	012Y3002       ,	Y3012603  ,	NIY301A        ,	29952,
	008OKNI061               ,	FCQFN-08OK2D,	1*1.2*0.55          ,	ANI008OK2001A       ,	PACK171   ,	008OK001       ,	OK008601  ,	NIOK01A        ,	46407,
	016OFNI041               ,	FCQFN-16OF2D,	1.6*2.5*0.55        ,	ANI016OF2002A       ,	PACK171   ,	016OF002       ,	OF016603  ,	NIOF01A        ,	11825,
	012Y1NI061               ,	DFN-12Y12A  ,	2.5*2.5*0.75        ,	ANI012Y11002C       ,	PACK171   ,	012Y1002       ,	Y1012604  ,	NIY101A        ,	11765,
	020YUNI123               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	012Y1NI053               ,	DFN-12Y12A  ,	2.5*2.5*0.75        ,	ANI012Y11002C       ,	PACK171   ,	012Y1002       ,	Y1012604  ,	NIY101A        ,	11765,
	020YUNI168               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1002B       ,	PACK171   ,	020YU002       ,	YU020604  ,	NIYU04A        ,	23759,
	020YUNI153               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1005C       ,	PACK171   ,	020YU006       ,	YU020611  ,	NIYU04A        ,	18051,
