OPER,CUST,B/D#,MODEL,G.UPH
2200,MXIC,AAW016D53004A,UTC3000,89.62491428571427
2200,MXIC,AAW016D53004A,UTC2000,92.3769
2200,MXIC,AAW016D53004A,UTC2000S,89.62491428571427
2200,MXIC,AAW016D53004A,UTC1000S,89.62491428571427
2200,MXIC,AAW016D53004A,UTC1000,89.62491428571427
2200,MXIC,AAW016D53004A,UTC5000S,107.6208
2200,MXIC,AAW016D53004A,MAXUM-BASE,89.62491428571427
2200,MXIC,AAW016D53004A,MAXUM-PLUS,79.2414
2200,MXIC,AAW016D53004A,ICONN-PLUS,89.62491428571427
2200,MXIC,AAW016D53004A,ICONN,89.62491428571427
2200,MXIC,AAW016D53004A,MAXUM,89.62491428571427
2200,MXIC,AAW016D53004A,RAPID,89.62491428571427
2200,MXIC,AAW016D53004A,MAXUM-CU,89.62491428571427
2200,MXIC,AAW016D53011A,UTC1000,102.127
2200,MXIC,AAW016D53011A,UTC2000S,102.127
2200,MXIC,AAW016D53011A,UTC1000S,102.127
2200,MXIC,AAW016D53011A,UTC2000,85.2863
2200,MXIC,AAW016D53011A,UTC3000,101.2351
2200,MXIC,AAW016D53011A,MAXUM-CU,102.127
2200,MXIC,AAW016D53011A,MAXUM-BASE,102.127
2200,MXIC,AAW016D53011A,MAXUM,102.127
2200,MXIC,AAW016D53011A,MAXUM-PLUS,104.2246
2200,MXIC,AAW016D53011A,ICONN-PLUS,102.127
2200,MXIC,AAW016D53011A,ICONN,102.127
2200,MXIC,AAW016D53011A,RAPID,113.383
2200,MXIC,AAW016D53011A,UTC5000S,108.9892
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,MXIC,AAW016D53017A,,86.2466
2200,EMC,AHQ0445T2011A,,247.9786
2200,EMC,AHQ0445T2011A,,247.9786
2200,EMC,AHQ0445T2011A,,247.9786
2200,EMC,AHQ0445T2011A,,247.9786
2200,EMC,AHQ0445T2011A,,247.9786
2200,EMC,AHQ0445T2011A,,247.9786
2200,EMC,AHQ0445T2011A,,247.9786
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
2200,PHISON,TDANV153XT8028A-A,,0.0
