ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB761,UTC2000,RUNNING,R20AWB915,2200.0,024MAAW072,AAW024MA6041B,22-05-17 09:49,22-05-16 20:48,MXIC,MINIBGA24A3L,8572.0,05/27/2022 MP,1091A07T41,0,R20AWB908,MINIBGA24A3L,MXIC,AAW024MA6041B,1091A07T41,658.478,22-05-17 09:49,2200,3845.0380952380956
BB762,UTC2000,RUNNING,R20GJKE02,2200.0,252X0GJ004,AGJ252X02001A,22-05-17 13:19,22-05-16 21:55,A-DATA,STBGA252G4V,2354.0,05/28/2022 MP,0,0,R20GJKC01,STBGA252G4V,A-DATA,AGJ252X02001A,1091A07C41,152.777,22-05-17 13:19,2200,9108.0
BB763,UTC2000,RUNNING,R20AWB330,2200.0,048TPAW086,AAW048TP1041B,22-05-17 07:47,22-05-16 21:16,MXIC,TSOP1-48/M2,720.0,05/29/2022 SP,1091A08T41,0,R20AWA721,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,68.3815,22-05-17 07:47,2200,32020.10714285714
BB764,UTC2000,SETUP,0,0.0,0,ABU200N74005A,22-05-17 09:06,22-05-17 07:42,0,0,0.0,05/30/2022 SP,0,0,R19CSJ201,TSOP2-54CMES,CYPRESS,ACS054TS1012A,1091A08C41,147.2436,0,2200,0.0
BB765,UTC2000,RUNNING,R20AWAD04,2200.0,016D5AW011,AAW016D53004A,22-05-17 08:04,22-05-16 18:26,MXIC,SSLGA16DOU,1260.0,05/31/2022 SP,0,0,R19AWCB14,SSLGA16DOU,MXIC,AAW016D53017A,1091A07T41,92.3769,22-05-17 08:04,2200,48337.04761904762
BB766,UTC2000,RUNNING,R20NVW911,2200.0,132X2NV158,ANV132X2C059A,22-05-17 09:56,22-05-16 16:44,PHISON,STBGA132G4VT,1140.0,0,1091A06C41,0,R18YZBS14,FBGA-96UEI,ZJP,AYZ096EI1002A,1091A07T21,66.3136,22-05-17 09:56,2200,13140.4
BB767,UTC2000,RUNNING,R19CDA803,2200.0,096ELCD003,ACD096EL1003A,22-05-18 02:18,22-05-16 18:24,ETRON,FBGA96UEL(2),5960.0,0,0,0,R19CDAW01,FBGA96UEL(2),ETRON,ACD096EL1003A,1091A07T41,186.8819,22-05-18 02:18,2200,33815.283333333326
BB768,UTC2000,RUNNING,R19BUA603,3200.0,084XUBU007,ABU084XU2001B,22-05-17 19:07,22-05-17 04:37,ICSI,STBGA84D4P,1600.0,0,1091A09C21,0,R19BUA608,STBGA84D4P,ICSI,ABU084XU2001B,1091A09C21,112.4627,22-05-17 19:07,3200,0.0
BB769,UTC2000,RUNNING,R20AWC902,2200.0,024XJAW020,AAW024XJ6010B,22-05-17 09:58,22-05-16 21:18,MXIC,STBGA24A4L,4074.0,0,1091A07T41,0,R20AWC903,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,321.8796,22-05-17 09:58,2200,1358.0
BB770,UTC2000,RUNNING,R18YZBR16,2200.0,096EIYZ001,AYZ096EI1002A,22-05-17 00:55,22-05-15 21:53,ZJP,FBGA-96UEI,5454.0,0,1091A07T21,0,R18YZBR02,FBGA-96UEI,ZJP,AYZ096EI1002A,1091A07T21,201.151,22-05-17 00:55,2200,681.75
BB771,UTC2000,RUNNING,R20NVW912,2200.0,132X2NV158,ANV132X2C059A,22-05-17 12:10,22-05-16 18:23,PHISON,STBGA132G4VT,1180.0,0,1091A06C41,0,R18YZBS13,FBGA-96UEI,ZJP,AYZ096EI1002A,1091A07T21,66.3136,22-05-17 12:10,2200,13140.4
BB772,UTC2000,RUNNING,R20CDAC07,2200.0,054TNCD017,ACD054TN1001A,22-05-17 15:36,22-05-17 04:23,ETRON,TSOP2-54ME,2880.0,0,1091A07T21,0,R19CDAK01,FBGA-96UH6B,ETRON,ACD096CA4001B,1091A07T41,256.5663,22-05-17 15:36,2200,32585.074999999997
BB773,UTC2000,RUNNING,R19CSJ303,3200.0,054TSCS013,ACS054TS1009A,22-05-17 11:05,22-05-17 05:57,CYPRESS,TSOP2-54CMES,1440.0,0,1091A08C41,0,R19CSJ304,TSOP2-54CMES,CYPRESS,ACS054TS1009A,1091A08C41,298.4353,22-05-17 11:05,3200,0.0
BB774,UTC2000,IDLE,0,0.0,0,AAB060EM2001A,0,22-05-17 06:22,0,0,0.0,0,0,0,R20ABSL01,FBGA60UEM2-1,WINBOND,AAB060EM2001A,1091A07T21,346.7893,0,2200,0.0
BB775,UTC2000,RUNNING,R14BUCJ05,3200.0,096EFBU003,ABU096EF5001A,22-05-18 15:32,22-05-17 02:23,ICSI,FBGAS-96UEF7,2364.0,0,1091A07C21,4,R14BUCJ04,FBGAS-96UEF7,ICSI,ABU096EF5001A,1091A07C21,251.6005,22-05-18 15:32,3200,3072.3571428571427
BB776,UTC2000,RUNNING,R20AWB324,2200.0,048TPAW086,AAW048TP1041B,22-05-17 07:45,22-05-16 21:14,MXIC,TSOP1-48/M2,720.0,0,1091A08T41,0,R20AWA704,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,68.3815,22-05-17 07:45,2200,32020.10714285714
BB777,UTC2000,RUNNING,R20ABTJ01,2200.0,048TWAB016,AAB048TW2002A,22-05-17 09:27,22-05-17 05:29,WINBOND,TSOP1-48AM,2160.0,0,1091A07T21,0,R20ABTD01,VFBGA60B4L,WINBOND,AAB060NR1006A,1091A07T21,543.1002,22-05-17 09:27,2200,4346.72380952381
BB778,UTC2000,RUNNING,R14BUCJ01,3200.0,096EFBU003,ABU096EF5001A,22-05-15 21:13,22-05-14 08:18,ICSI,FBGAS-96UEF7,2348.0,0,1091A07C21,4,R19SSGL15,STBGA153JAU,HOSIN,ASS153XT3003A,1091A07C41,251.6005,22-05-15 21:13,3200,3072.3571428571427
BB779,UTC2000,WAIT-REPAIR,0,0.0,0,AAB060NR2003A,0,22-05-17 06:01,0,0,0.0,0,0,0,R19CDAK01,FBGA-96UH6B,ETRON,ACD096CA4001B,1091A07T41,282.5718,0,2200,0.0
BB780,UTC2000,RUNNING,R80CMRK01,2200.0,132X2CM107ENG,ANV132X2A022A,0,22-05-17 06:57,ENG,STBGA132G4U,240.0,0,0,0,R07NVG601,STBGA132G4U,PHISON,ANV132X2A022A,1091A08C41,164.3273,0,2200,68.57142857142857
BB781,UTC2000,RUNNING,R20GJKE01,2200.0,252X0GJ004,AGJ252X02001A,22-05-17 12:26,22-05-16 21:45,A-DATA,STBGA252G4V,2242.0,0,0,0,R20GJKC03,STBGA252G4V,A-DATA,AGJ252X02001A,1091A07C41,152.777,22-05-17 12:26,2200,9108.0
BB782,UTC2000,RUNNING,R20ABSR06,2200.0,060EMAB004,AAB060EM2001A,22-05-17 18:29,22-05-16 21:05,WINBOND,FBGA60UEM2-1,7424.0,05/17/2022 MP,1091A07T21,0,R20ABSH04,FBGA60UEM2-1,WINBOND,AAB060EM2001A,1091A07T21,346.7893,22-05-17 18:29,2200,14031.591666666667
BB783,UTC2000,RUNNING,R20GJKC12,2200.0,252X0GJ004,AGJ252X02001A,22-05-17 20:34,22-05-17 05:33,A-DATA,STBGA252G4V,2292.0,05/18/2022 MP,1091A07C41,4,R20GJKB06,STBGA252G4V,A-DATA,AGJ252X02001A,1091A07C41,152.777,22-05-17 20:34,2200,9108.0
BB784,UTC2000,QC,R20ABSR04,2200.0,060EMAB004,AAB060EM2001A,0,0,WINBOND,FBGA60UEM2-1,7635.0,05/19/2022 MP,1091A07T21,0,R20ABSU01,FBGA60UEM2-1,WINBOND,AAB060EM2001A,1091A07T21,346.7893,22-05-17 10:21,2200,14031.591666666667
BB785,UTC2000,SETUP,0,0.0,0,AAB024XW3001A,22-05-17 09:41,22-05-17 07:41,0,0,0.0,05/20/2022 MP,0,0,R20ABB703,STBGA24D6U,WINBOND,AAB024XW3001A,1091A07T21,1131.3247,0,3200,0.0
BB786,UTC2000,IDLE,0,0.0,0,ACD096EL1003A,0,22-05-16 16:10,0,0,0.0,05/21/2022 MP,0,0,R19CDA701,FBGA96UEL(2),ETRON,ACD096EL1003A,1091A07T41,186.8819,0,2200,0.0
BB787,UTC2000,RUNNING,R14BUCJ02,3200.0,096EFBU003,ABU096EF5001A,22-05-15 19:22,22-05-14 05:20,ICSI,FBGAS-96UEF7,2420.0,05/22/2022 MP,1091A07C21,4,R19SSGK32,STBGA153JAU,HOSIN,ASS153XT3003A,1091A07C41,251.6005,22-05-15 19:22,3200,3072.3571428571427
BB788,UTC2000,RUNNING,R20NVW910,2200.0,132X2NV158,ANV132X2C059A,22-05-17 11:25,22-05-16 17:54,PHISON,STBGA132G4VT,1162.0,05/23/2022 MP,1091A06C41,0,R18YZBS11,FBGA-96UEI,ZJP,AYZ096EI1002A,1091A07T21,66.3136,22-05-17 11:25,2200,13140.4
BB789,UTC2000,RUNNING,R20CSJ601,2200.0,054TSCS007,ACS054TS1008A,22-05-17 10:27,22-05-17 01:08,CYPRESS,TSOP2-54CME,2880.0,05/24/2022 MP,0,0,R18YZBP03,FBGA-96UEI,ZJP,AYZ096EI1002A,1091A07T21,309.2396,22-05-17 10:27,2200,4657.194444444444
BB790,UTC2000,RUNNING,R20MSDL07,2200.0,078ENMS009,AMS078EN1001A,22-05-17 17:47,22-05-17 02:04,MTI,FBGA-78UEN,3580.0,05/25/2022 MP,1091A06T21,0,R20MSDB06,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,227.8601,22-05-17 17:47,2200,87283.96666666667
BB791,UTC2000,RUNNING,R20NVW901,2200.0,132X2NV158,ANV132X2C059A,22-05-17 15:48,22-05-16 22:01,PHISON,STBGA132G4VT,1180.0,05/26/2022 MP,1091A06C41,0,R20NVW905,STBGA132G4VT,PHISON,ANV132X2C059A,1091A06C41,66.3136,22-05-17 15:48,2200,13140.4
BB801,MAXUM,RUNNING,R20ASAD05,2200.0,162KEAS010,AAS162KE1008A,22-05-17 15:18,22-05-16 03:35,EliteMT,STBGA162B4U,3280.0,05/27/2022 MP,1091G08PA4,4,R19ASAK06,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,91.8472,22-05-17 15:18,2200,21692.95238095238
BB802,MAXUM,RUNNING,R19ASAL05,2200.0,162KEAS010,AAS162KE1008A,22-05-18 04:59,22-05-16 18:10,EliteMT,STBGA162B4U,3197.0,05/28/2022 MP,0,0,R19ASAK08,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,91.8472,22-05-18 04:59,2200,21692.95238095238
BB803,MAXUM,RUNNING,R20ASB708,2200.0,008YQAS031,AAS008YQ2014A,22-05-17 07:32,22-05-17 01:26,EliteMT,DFN-08YQ2AW,6160.0,05/29/2022 MP,1091G08PA4,0,R20ASB706,DFN-08YQ2AW,EliteMT,AAS008YQ2014A,1091G08PA4,1010.6368,22-05-17 07:32,2200,4651.466666666667
BB804,MAXUM,RUNNING,R17ASBR05,2200.0,096ELAS044,AAS096EL1016A,22-05-17 09:04,22-05-16 14:04,EliteMT,FBGA-96UEL-3,2900.0,05/30/2022 MP,1091G08PA4,0,R18TEAM05,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,152.6264,22-05-17 09:04,2200,7803.732026143791
