,bd_id,oper,Location,Output plan,Original ENT(07:30),Original ENT(11:00),Allocate ENT
181,ASS153XT3001A,2200,TA-R,38.962,15.0,22.0,21.0
182,AUK012DN2003A,2200,TA-2,119.96,6.0,6.0,2.0
183,AVE054TS1001E,2200,TA-2,5.76,2.0,2.0,2.0
184,AYZ096EF2003A,2200,TA-5,7.46,3.0,3.0,3.0
185,AYZ096EI1002A,2200,TA-1,20.535,4.0,4.0,4.0
186,AAB008YQ3020A,0,TB-U,0.0,1.0,0.0,0.0
187,AAB024XJ6011A,3600,TA-2,0.0,1.0,1.0,0.0
188,AAB054TN1004A,0,TA-1,0.0,1.0,1.0,0.0
189,AAB054TN1005A,0,TA-R,0.0,1.0,1.0,0.0
190,AAB066TN1001A,0,TA-P,0.0,1.0,1.0,1.0
191,AAB090NC4006A,0,TA-1,0.0,1.0,1.0,1.0
192,AAB096EF3001A,0,TA-1,0.0,1.0,1.0,0.0
193,AAB096EL1003A,0,TA-1,0.0,1.0,1.0,1.0
194,AAB162KE1006A,0,TA-2,0.0,1.0,5.0,1.0
195,AAS008FG1011A,0,TB-P,0.0,3.0,0.0,0.0
196,AAS060NR2004A,0,TB-U,0.0,1.0,0.0,0.0
197,AAS063NW3012A,0,TB-U,0.0,1.0,0.0,0.0
198,AAS096EL1002A,0,TB-U,0.0,1.0,0.0,0.0
199,AAS096EL1009B,0,TB-U,0.0,5.0,0.0,0.0
200,AAW008YQ3004A,0,TB-I,0.0,1.0,0.0,0.0
201,AAW016D53019A,0,TA-2,0.0,1.0,20.0,6.0
202,AAW024XJ4004A,0,TA-3,0.0,2.0,0.0,0.0
203,AAW024XJ6014A,0,TA-2,0.0,2.0,2.0,0.0
204,AAW048TP1008B,0,TA-2,0.0,2.0,1.0,1.0
205,AAW048TP1024D,0,TA-2,0.0,2.0,3.0,0.0
206,AB054NB2002A,0,TA-1,0.0,1.0,1.0,1.0
207,ABU024XJ6003A,0,TA-3,0.0,1.0,0.0,0.0
208,ABU054MF6004A,0,TA-1,0.0,1.0,0.0,0.0
209,ABU084CT2001C,0,TA-1,0.0,1.0,1.0,1.0
210,ABU096EF2002A,0,TA-1,0.0,1.0,1.0,1.0
211,ABU153XT9001A,0,TB-I,0.0,1.0,0.0,0.0
212,ABU153XT9002A,0,TB-I,0.0,1.0,0.0,0.0
213,ABU200KX1001D,0,TA-2,0.0,1.0,0.0,0.0
214,ACD084CC2002A,0,TA-P,0.0,5.0,0.0,0.0
215,AHQ0225S1002A,0,TB-I,0.0,1.0,0.0,0.0
216,AHQ0442J3006A,0,TB-R,0.0,1.0,1.0,0.0
217,AMS078C91003A,0,TA-P,0.0,1.0,11.0,11.0
218,AMS096EC1002A,0,TB-5P,0.0,1.0,12.0,11.0
219,ANI010YK3001A,0,TB-U,0.0,2.0,16.0,3.0
220,ANV0086A1070A,0,TB-P,0.0,1.0,6.0,5.0
221,ANV132X2C044A,0,TA-R,0.0,1.0,1.0,1.0
222,ANV132X2C044A,0,TB-IP,0.0,1.0,2.0,2.0
223,ANV345XTG002A,3400,TA-3,0.0,1.0,1.0,0.0
224,ASS153XT3001A,0,TA-R,0.0,5.0,1.0,1.0
225,AYZ096EI1002A,0,TA-1,0.0,1.0,1.0,1.0
226,AAB008YB2003A,0,TB-P,0.0,0.0,1.0,1.0
227,AAB008YB2009A,0,TB-P,0.0,0.0,1.0,1.0
228,AAB008YD2007A,0,TB-U,0.0,0.0,1.0,0.0
229,AAB008YM2023A,0,TB-U,0.0,0.0,2.0,1.0
230,AAB008YQ2032A,0,TB-P,0.0,0.0,2.0,2.0
231,AAB008YQ3020A,2200,TB-U,0.0,0.0,1.0,0.0
232,AAB008YQ3021A,0,TB-U,0.0,0.0,5.0,1.0
233,AAB024MAA004A,0,TA-1,0.0,0.0,1.0,0.0
234,AAB048TW2002A,0,TA-P,0.0,0.0,1.0,1.0
235,AAB054NB6004A,0,TA-2,0.0,0.0,1.0,0.0
236,AAB084CC9002A,0,TA-5,0.0,0.0,3.0,3.0
237,AAB162KE1006A,0,TA-3,0.0,0.0,3.0,2.0
238,AAB162KE1006A,0,TA-5,0.0,0.0,1.0,1.0
239,AAS008FG1037A,2200,TB-U,0.0,0.0,1.0,1.0
240,AAS060NR2004A,2200,TB-U,0.0,0.0,1.0,0.0
241,AAS084CC2015B,0,TB-U,0.0,0.0,2.0,0.0
242,AAW008Y62015A,0,TB-P,0.0,0.0,15.0,15.0
243,AAW008YQ3004A,2200,TB-I,0.0,0.0,1.0,0.0
244,AAW016D53019A,0,TA-5,0.0,0.0,1.0,1.0
245,AAW048TP1024D,0,TA-P,0.0,0.0,1.0,1.0
246,ABU008Y62002A,0,TB-U,0.0,0.0,12.0,9.0
247,ABU008YQ2002A,0,TB-U,0.0,0.0,1.0,1.0
248,ABW032YB1005B,0,TB-U,0.0,0.0,3.0,1.0
249,ABW032YF1007B,0,TB-P,0.0,0.0,1.0,1.0
250,ABW032YF1007B,0,TB-U,0.0,0.0,1.0,0.0
251,ABW052AC1005A,0,TB-U,0.0,0.0,1.0,1.0
252,ADY084XU3002A,0,TA-2,0.0,0.0,1.0,0.0
253,AHQ0415L1003B,0,TB-I,0.0,0.0,3.0,1.0
254,AHQ0442J3005A,0,TB-R,0.0,0.0,2.0,2.0
255,ALW078EP1001A,0,TA-U,0.0,0.0,1.0,1.0
256,AMS078C91003A,0,TB-5P,0.0,0.0,7.0,7.0
257,AMS078C91003A,0,TB-P,0.0,0.0,4.0,3.0
258,AMS096EC1002A,0,TA-P,0.0,0.0,2.0,2.0
259,AMS096EF2001A,0,TA-2,0.0,0.0,1.0,1.0
260,ANV0086A1071A,0,TB-P,0.0,0.0,1.0,0.0
261,ANV0086A1076A,0,TB-R,0.0,0.0,1.0,1.0
262,ANV0086A1105A,0,TB-I,0.0,0.0,1.0,0.0
263,ANV132X2B012A,0,TB-IP,0.0,0.0,1.0,1.0
264,ANV345XTA010A,0,TA-5,0.0,0.0,1.0,1.0
265,ANV345XTB007A,0,TA-2,0.0,0.0,3.0,0.0
266,ANV345XTB023B,0,TA-3,0.0,0.0,1.0,0.0
