code_flag,gw_part_no,roll_length
A,1091A06T21,0.000
R,1091A08T21,2305.690
R,1091A08T21,2197.514
R,1091A08T21,435.506
A,1091A08T41,0.000
A,1091A07C21,0.000
O,1091A07C41,2084.633
R,1091A08T21,232.044
O,1091A06C41,396.098
O,1091A06C41,1107.235
O,1091A07C41,2491.574
O,1091A06C41,2140.893
O,1091A06C41,467.904
O,1091A06T21,1100.668
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
O,1091A06T21,2155.626
R,1091A06C21,1652.717
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
O,1091A06T21,2504.448
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
O,1091A06C41,1797.407
O,1091A06C41,678.477
F,1091A08C41,102.860
O,1091A06C41,1432.921
A,1091A07C21,0.000
O,1091A06T21,785.678
O,1091A06T21,1538.441
O,1091A06T21,2913.593
F,1091A06C21,29.541
O,1091A07T41,0.000
R,1091A06C21,1509.792
R,1091A06C21,77.709
O,1091A07C41,2091.231
O,1091A07C41,2044.143
A,1091A07C21,0.000
O,1091A08T21,2466.389
O,1091A06C41,2499.486
O,1091A07T21,640.775
O,1091A06T21,1055.384
O,1091A07C41,2250.912
O,1091A06T21,2388.786
O,1091A07T21,3000.000
O,1091A07T21,2994.233
O,1091A07T21,3000.000
O,1091A07T21,3000.000
O,1091A07C41,1994.027
O,1091A07T21,1837.877
R,1091A06C21,670.189
O,1091A07T21,1905.289
F,1091A06C21,43.206
O,1091A06T21,1360.905
O,1091A06T21,968.254
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
R,1091A06T21,733.586
O,1091A07C41,1756.052
R,1091A07T41,2131.243
F,1091A06C21,39.368
R,1091A06T21,1072.835
R,1091A06T21,1706.814
R,1091A06T21,318.334
O,1091A06T21,1293.723
O,1091A06T41,407.118
R,1091A06C21,1706.434
O,1091A06T21,630.558
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
O,1091A06T21,1392.235
R,1091A06T21,577.024
R,1091A06C21,969.508
R,1091A06T21,1743.957
A,1091A07T41,0.000
R,1091A06C21,931.915
R,1091A06T21,1649.584
O,1091A06T21,1087.029
R,1091A06C21,512.615
O,1091A06T41,2742.252
O,1091A06T21,2128.995
O,1091A07T21,2044.296
O,1091A07C41,1296.868
O,1091A06T21,1294.975
O,1091A06T21,1334.703
O,1091A06T21,2395.747
O,1091A06T21,1013.542
R,1091A06T21,1773.788
O,1091A06T21,1729.480
O,1091A07T21,769.180
O,1091A06T21,1416.729
O,1091A06T21,487.228
O,1091A06T21,83.785
F,1091A08C41,51.241
R,1091A06T21,197.660
R,1091A06T21,1835.909
O,1091A06T21,2629.229
O,1091A06T41,424.663
O,1091A07C41,613.461
R,1091A06T21,732.075
O,1091A06T21,1909.346
F,1091A09C21,74.731
O,1091A06T21,0.000
O,1091A06T21,548.616
F,1091A08C41,49.482
O,1091A06T21,146.832
R,1091A07C41,1996.591
O,1091A06T21,869.146
O,1091A06T21,169.065
O,1091A06T21,2475.909
R,1091A07C41,1503.446
O,1091A06T21,2493.151
O,1091A06T21,1992.591
O,1091A06T21,1804.126
O,1091A06T21,892.346
O,1091A07C21,2334.803
O,1091A06T21,1030.120
O,1091A06T21,2725.975
O,1091A06T21,936.088
O,1091A06T21,930.711
O,1091A06T21,469.991
F,1091A09C21,55.487
O,1091A06T21,73.377
O,1091A06T21,1460.423
O,1091G08PA1,549.560
O,1091A06T21,1960.816
O,1091A06T21,2078.914
O,1091A06T21,2166.776
O,1091A06T21,1982.522
O,1091A06T21,1776.727
O,1091A06T21,769.245
O,1091A06T21,2052.425
O,1091A06T21,1230.020
F,1091A09C21,51.339
O,1091A06T21,185.027
O,1091A06T21,475.554
O,1091A06T21,1232.872
A,1091A08C41,0.000
O,1091A06T21,1751.765
O,1091A06T21,1965.154
R,1091A07T41,2023.777
O,1091A06T21,1643.315
O,1091A06T21,207.991
O,1091A06T21,2114.498
O,1091A06T21,1915.033
R,1091A07T41,907.461
O,1091A07C41,1886.819
O,1091A06T21,454.823
F,1091A08C41,62.932
O,1091A07T41,2769.356
O,1091A06T21,1923.816
O,1091A06T21,365.807
O,1091A08T41,2649.599
R,1091A06C21,662.333
O,1091A06T21,1920.481
O,1091A06T21,706.530
O,1091A06T21,555.407
O,1091A06T21,975.600
O,1091A06T21,1441.121
O,1091A06T21,0.000
O,1091A06T21,1966.209
O,1091A06T21,1842.707
O,1091A06T21,667.725
O,1091A06T21,153.115
O,1091A06T21,0.000
R,1091A06T21,321.061
O,1091A06T21,2130.449
O,1091A06T21,1798.180
O,1091A06T21,1168.248
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
O,1091A06T21,1163.765
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
O,1091A06T21,2317.441
O,1091A06T21,1961.021
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
O,1091A06T21,275.946
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
R,1091A07T41,2090.795
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
F,1091A07C21,3.480
O,1091A06T21,1432.580
R,1091A06T21,477.194
O,1091A06T21,795.468
R,1091A06C21,383.905
R,1091A06C21,264.240
O,1091A06T21,1849.422
R,1091A07C41,1916.322
O,1091A07T21,1792.190
R,1091A07C41,1273.753
R,1091A07C41,1780.504
R,1091A07C41,2402.386
O,1091A07T21,3000.000
R,1091A07C41,2182.883
R,1091A07C41,2241.267
R,1091A07C41,1952.535
O,1091A07T21,3000.000
O,1091A07T21,3000.000
O,1091A07C21,577.020
O,1091A07C21,1420.005
A,1091A06T21,0.000
O,1091A06T21,384.977
O,1091A07C21,509.529
O,1091A06T21,489.688
O,1091A07C21,370.700
O,1091A06T21,718.597
R,1091A07C41,1673.865
R,1091A07C41,1659.373
R,1091A07C41,1866.120
O,1091A06T21,1244.863
O,1091A06T21,1935.310
R,1091A07C41,1629.906
O,1091A06T21,2623.017
R,1091A07C41,2356.827
F,1091A09C21,51.221
R,1091A07C41,1435.298
O,1091A06T41,158.655
R,1091A06T21,2531.690
O,1091A06T21,413.024
O,1091A06T21,546.058
O,1091A06T21,539.512
A,1091A06T21,0.000
O,1091A06T21,2504.070
O,1091A06T41,287.291
R,1091A07C41,225.018
R,1091A07C41,1891.656
O,1091A06T21,2304.460
R,1091A07C41,1380.528
F,1091A10C41,24.515
O,1091A07C21,829.614
O,1091A07C21,192.133
O,1091A06T21,2134.648
O,1091A06T21,881.951
O,1091A07C21,2294.349
O,1091A06T21,1749.361
F,1091A07C21,6.884
O,1091A06T21,1395.148
O,1091A08C21,2306.594
R,1091A06T21,1260.392
F,1091A07C21,0.000
O,1091A06T21,656.311
O,1091A06T21,1060.973
A,1091A07T21,1479.258
O,1091A07T21,3000.000
O,1091A06T21,849.360
O,1091A06T21,446.020
F,1091A07C21,0.000
O,1091A07C21,2910.411
O,1091A07C21,438.319
O,1091A07C21,2567.371
O,1091A07C21,1092.742
R,1091A07C41,1215.191
O,1091G08PA1,292.030
F,1091A06C21,66.636
O,1091A06T21,277.262
R,1091A08C21,1864.973
O,1091A06T21,425.391
O,1091A06T21,1986.704
O,1091A06T21,1269.165
O,1091A06T21,148.666
O,1091A07C21,2268.615
O,1091A06T21,1227.869
O,1091A07T21,2025.445
O,1091A07C21,89.513
O,1091A06T21,1748.217
F,1091A07C21,2.299
O,1091A06T21,1801.627
O,1091A06T21,726.270
F,1091A07T21,0.000
R,1091A07T41,2031.117
O,1091A06T21,1713.728
A,1091A06T21,0.000
R,1091A07T41,2197.119
F,1091A07T21,279.400
R,1091A07C41,2262.360
R,1091A07C41,2384.805
O,1091A08T41,414.539
F,1091A07C21,18.303
O,1091A06T21,1811.358
R,1091A10C41,727.904
R,1091A07C41,2346.621
R,1091A07C41,2283.805
O,1091A08T21,2439.815
O,1091A07C21,31.020
O,1091A08T21,1618.625
O,1091A08T21,1778.289
O,1091A06T41,992.982
R,1091A07C41,2141.868
R,1091A07C41,1484.175
R,1091A07C41,2113.613
O,1091A07C21,271.669
R,1091A07C41,2151.398
R,1091A06C21,523.413
O,1091A06C21,1129.469
O,1091A07C21,977.235
O,1091A08T21,2086.180
O,1091A07T21,1303.633
R,1091A07C41,1665.756
R,1091A07C41,1424.305
A,1091A07C41,0.000
O,1091A06T41,542.528
O,1091A07T21,3000.000
O,1091A06T21,1973.491
O,1091A07T41,1662.392
O,1091A06T41,2913.654
O,1091A08T41,1994.528
O,1091A06C41,92.128
O,1091A06C41,1151.328
O,1091A06C21,2124.136
O,1091A07C21,2765.152
O,1091A08T41,493.994
O,1091A07T21,1464.310
O,1091A06T21,708.571
O,1091A07T21,907.710
O,1091A06T21,1935.974
O,1091A07T21,1336.725
O,1091A06T21,1723.680
A,1091A06T21,0.000
R,1091A06C21,1118.949
O,1091A06C21,1345.323
O,1091A06T21,2064.989
O,1091A07T41,2399.624
O,1091A06C41,406.250
O,1091A06C41,171.889
O,1091A07T21,1774.470
O,1091A07T41,1149.710
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
O,1091A08T41,3000.000
O,1091A06T21,684.354
O,1091A06T21,410.207
O,1091A07C21,601.661
O,1091A07T21,2880.690
O,1091A07C21,250.887
R,1091A07T41,2527.555
O,1091A06T21,832.458
O,1091A06T21,1118.890
O,1091A08T21,1631.089
O,1091A08T21,3000.000
O,1091A07T21,1554.936
A,1091A07C21,0.000
O,1091A06T41,2227.944
O,1091A08T41,1805.763
O,1091G08PA1,168.394
F,1091G08PA4,0.000
O,1091G08PA1,291.385
O,1091A06T21,1961.926
O,1091A07T41,2462.841
O,1091A06T21,2523.725
O,1091A06T21,211.786
O,1091A07T21,790.551
O,1091A06T41,1393.604
O,1091A08T41,642.180
O,1091A08T41,3000.000
R,1091A09C21,748.223
O,1091A08T41,3000.000
O,1091A07C21,2804.833
O,1091A06T21,1012.605
F,1091A07C21,58.197
O,1091A06T41,1173.231
O,1091A07T41,1498.134
R,1091A07C41,375.821
O,1091A06T21,1546.221
F,1091A08C41,94.086
R,1091A07C41,379.700
R,1091A09C21,1638.821
F,1091A07T21,0.000
O,1091A06T41,2868.191
O,1091A08T41,3000.000
O,1091A08T41,3000.000
O,1091A08T41,261.975
O,1091A07T21,556.100
F,1091A06T21,0.000
O,1091A06T41,525.853
O,1091G08PA1,1000.000
R,1091A07C41,1043.929
O,1091A06T21,901.806
O,1091A07T21,2841.285
A,1091A08T41,0.000
O,1091A06T21,499.611
O,1091A08T41,3000.000
O,1091A06T21,1433.612
O,1091A07T41,1457.195
O,1091A08T41,3000.000
O,1091A08T41,3000.000
R,1091A09C21,2497.059
O,1091A06T21,1782.433
O,1091A06T21,322.356
O,1091A08T41,3000.000
O,1091A08T21,3000.000
O,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
R,1091A07T41,556.246
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A09C41,3000.000
N,1091A09C41,3000.000
O,1091A08T21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A09C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091A10C41,2000.000
N,1091C08TP2,1000.000
N,1091C08TP2,1000.000
N,1091C08TP2,1000.000
N,1091C08TP2,1000.000
N,1091C08TP2,1000.000
N,1091C08TP2,1000.000
N,1091C08TP2,1000.000
N,1091C08TP2,1000.000
N,1091C08TP2,1000.000
N,1091C08TP2,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
N,1091G08PA1,500.000
O,1091A07T21,2747.090
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
N,1091G08PA4,1000.000
R,1091A09C21,1840.654
O,1091A06T21,440.385
O,1091A06T21,1741.226
F,1091A07C21,61.446
O,1091A06T21,2640.455
O,1091A07C21,2624.722
O,1091A06T41,1593.100
O,1091A06T21,561.047
O,1091A07T21,497.308
O,1091A06T21,2337.582
O,1091A07T21,2751.523
O,1091A07T21,925.984
O,1091A07T21,2921.806
O,1091G08PA1,507.534
O,1091A08T41,3000.000
O,1091A07T21,1269.556
O,1091A06T41,2604.961
R,1091A08C21,1248.401
O,1091A08T41,3000.000
O,1091A08T41,2406.679
O,1091A06T41,103.098
O,1091A07T21,2754.981
O,1091A08T41,405.289
O,1091A07T41,2461.983
O,1091A07T21,2812.424
O,1091A07T21,492.503
O,1091A07T41,2419.364
O,1091A07T21,2471.796
O,1091A06T21,1044.833
O,1091A06T21,495.127
O,1091G08PA1,928.679
O,1091A07C21,2355.207
O,1091G08PA1,211.364
O,1091A07T21,2431.273
O,1091A06T41,2007.228
O,1091A06T21,1606.187
O,1091A06T21,1044.994
O,1091G08PA1,890.788
O,1091A07C21,2762.448
O,1091G08PA1,294.159
O,1091A06T21,2033.130
O,1091A07T21,1434.506
O,1091A07T21,1322.544
R,1091A08T41,252.559
O,1091A07T41,372.429
O,1091G07PA4,1000.000
O,1091A06T21,1399.716
O,1091G08PA1,516.919
O,1091A06T21,1199.523
F,1091A09C41,3.818
O,1091A06T21,1039.013
O,1091A08T41,2398.447
F,1091A08T41,34.421
O,1091A06T21,278.935
O,1091A06T21,851.395
O,1091A06T21,2135.080
A,1091A07C41,0.000
O,1091A06T21,605.159
O,1091A06T21,285.068
R,1091A07T21,2361.427
O,1091A06T21,117.833
R,1091A07C41,371.224
O,1091A08T41,3000.000
O,1091A06T21,1142.210
O,1091A07C41,2084.920
O,1091A07T21,924.164
O,1091A06T21,2024.610
O,1091A07T21,970.117
O,1091G08PA1,135.550
O,1091A06C21,1661.119
O,1091A07T41,0.000
O,1091A07T41,2086.729
O,1091A07T21,2879.241
R,1091A07C41,294.487
O,1091A06T41,468.188
O,1091A06T21,1569.358
O,1091A08T41,3000.000
O,1091A08T41,3000.000
O,1091A06T21,36.165
O,1091A08T41,3000.000
O,1091A06T21,587.696
O,1091A07T21,293.266
O,1091A06T41,1216.534
O,1091A07T41,1097.469
O,1091A06T21,1396.407
O,1091A07T21,2437.798
R,1091A08T21,1192.342
O,1091A07T21,2084.320
F,1091A07T21,0.000
F,1091A08T41,34.422
O,1091A08T41,2396.981
O,1091A07T21,2530.881
O,1091A07C41,273.453
O,1091A08C21,352.011
O,1091A08T41,3000.000
O,1091A08T41,990.367
O,1091A07T21,705.916
O,1091A07T21,356.188
R,1091A07T21,1859.266
O,1091A06T41,937.124
O,1091A08C21,1364.656
O,1091G08PA1,911.864
O,1091A07T41,658.148
O,1091A07T41,2399.884
O,1091A07T21,1392.438
O,1091A06T21,1133.227
O,1091A08T41,1990.787
O,1091G08PA1,395.435
O,1091G08PA4,1000.000
O,1091A07C21,1418.332
O,1091A07T21,2317.927
R,1091A07T21,1821.439
O,1091A06T21,2419.001
O,1091A08T41,2405.366
O,1091A06T21,1085.524
O,1091A07T41,870.345
O,1091A06T21,462.533
O,1091A06T21,437.233
O,1091A07T41,2036.084
O,1091G08PA1,1000.000
O,1091A06T21,749.930
O,1091A06T21,925.736
F,1091A08T41,34.076
F,1091A06C41,118.210
O,1091G08PA1,311.163
O,1091A06T21,602.456
O,1091G08PA1,239.920
O,1091A07T41,1146.724
O,1091A08T41,1806.455
O,1091A07T21,625.415
O,1091A06T21,534.187
O,1091A06T21,468.755
O,1091A07C41,1962.839
F,1091A06T21,0.000
F,1091A08T41,34.200
O,1091A07T21,2611.621
O,1091A08T41,3000.000
O,1091A08T41,3000.000
R,1091A07T41,2744.934
O,1091A08T41,1059.315
O,1091A06T21,1753.050
O,1091A07T21,2571.485
O,1091A06T21,571.205
O,1091A07T21,1466.813
F,1091A06T21,70.309
O,1091A08T41,2400.090
O,1091A06T41,644.690
O,1091A07T41,2479.049
F,1091A08T41,40.306
O,1091A07T21,2322.192
O,1091A06T41,3000.000
O,1091A08T41,1070.295
O,1091A07T21,826.624
F,1091A07C21,57.126
O,1091A06T21,801.021
O,1091A08T41,2309.296
O,1091A07T21,2226.760
F,1091A06T21,0.000
O,1091A07T21,2743.874
O,1091A07T21,2559.121
O,1091A07T21,1011.162
O,1091A06T21,1012.634
R,1091A10C41,758.969
O,1091A07T21,2753.712
O,1091A08T41,2932.844
O,1091A06T21,603.495
O,1091A07T21,2173.147
O,1091A07C41,919.049
O,1091A08T41,163.931
O,1091A08C41,2095.760
O,1091A06T21,1424.258
O,1091A06C41,2238.566
O,1091A07T41,2056.611
O,1091G08PA1,425.679
O,1091A06C41,57.307
O,1091G08PA1,113.567
O,1091A07T41,967.800
O,1091A07T21,1353.277
O,1091A06T21,1082.365
O,1091A08T41,1145.463
O,1091A06T41,1024.067
O,1091A08T41,990.052
O,1091A08T41,1604.683
O,1091A07C41,1812.187
O,1091A06T21,601.914
O,1091A07T21,2755.924
F,1091A06T41,0.000
O,1091A07T21,2246.251
O,1091A07T21,2718.607
O,1091A06T21,561.321
O,1091A06T41,3000.000
O,1091G08PA1,290.887
