ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM
BB573,UTC1000S,RUNNING,R02MSF513,2200,048TWMS063,AMS048TW1053A,22-01-12 09:51,22-01-12 06:32,MTI,TSOP1-48AM,1027,01/31/2022 MP
BB574,UTC1000S,WAIT-REPAIR,R02ABN404,2200,096ELAB016,AAB096EL1003A,22-01-13 01:55:55,22-01-12 07:19,WINBOND,FBGA96UEL(2),5864,
BB575,UTC1000S,RUNNING,R02ABN303,2200,096ELAB016,AAB096EL1003A,22-01-12 20:20,22-01-11 19:54,WINBOND,FBGA96UEL(2),5935,
BB576,UTC1000S,RUNNING,R02MSAI04,2200,078EPMS004,AMS078EP1001A,22-01-12 21:30,22-01-12 06:30,MTI,FBGA-78UEP,4109,
BB577,UTC1000S,RUNNING,R02ABK603,2200,060EMAB004,AAB060EM2001A,22-01-13 02:41,22-01-12 02:17,WINBOND,FBGA60UEM2-1,7549,
BB578,UTC1000S,RUNNING,R02ABP401,2200,096ELAB016,AAB096EL1003A,22-01-12 12:34,22-01-11 20:02,WINBOND,FBGA96UEL(2),4008,
BB579,UTC1000S,RUNNING,R02BUBG03,2200,096EABU001,ABU096EA1001A,22-01-12 18:32,22-01-12 06:51,ICSI,FBGA-96LEA,2640,
BB580,UTC1000S,SETUP,,,,AGA096EL2001A,22-01-12 09:07,22-01-12 07:43,,,,
BB581,UTC1000S,RUNNING,R02MSAK02,2200,078EPMS004,AMS078EP1001A,22-01-12 14:59,22-01-11 17:12,MTI,FBGA-78UEP,5976,
BB582,UTC1000S,RUNNING,R02ABL803,2200,096ELAB016,AAB096EL1003A,22-01-12 20:28,22-01-11 19:57,WINBOND,FBGA96UEL(2),5958,
BB583,UTC1000S,RUNNING,R02AWE501,2200,064MRAW025,AAW064MR1004A,22-01-12 08:47,22-01-11 22:53,MXIC,MBGA64J4U,4000,
BB584,UTC1000S,IDLE,,,,AMS096EC3001B,,22-01-12 06:20,,,,
BB585,UTC1000S,RUNNING,R02MSFS13,2200,048TWMS067,AMS048TW1057A,22-01-12 12:22,22-01-12 06:24,MTI,TSOP1-48AM,2160,01/12/2022 SP
BB586,UTC1000S,RUNNING,R02ABL901,2200,096ELAB016,AAB096EL1003A,22-01-12 16:44,22-01-10 21:43,WINBOND,FBGA96UEL(2),5934,01/13/2022 MP
BB587,UTC1000S,RUNNING,R02AWH207,2200,048TPAW054,AAW048TP1026E,22-01-12 10:36,22-01-12 04:55,MXIC,TSOP1-48/48M,2160,01/14/2022 MP
BB588,UTC1000S,RUNNING,R02AWGX08,2200,048TPAW054,AAW048TP1026E,22-01-12 09:26,22-01-12 03:44,MXIC,TSOP1-48/48M,2160,01/15/2022 MP
BB589,UTC1000S,RUNNING,R02ABK705,2200,060EMAB004,AAB060EM2001A,22-01-13 00:26,22-01-11 23:14,WINBOND,FBGA60UEM2-1,7793,01/16/2022 MP
BB590,UTC1000S,WAIT-SETUP,,,,ACS054TS1008A,,22-01-12 06:12,,,,01/17/2022 MP
BB591,UTC1000S,RUNNING,R02ABK404,2200,060EMAB004,AAB060EM2001A,22-01-12 12:48,22-01-12 06:18,WINBOND,FBGA60UEM2-1,1991,01/18/2022 MP
BB592,UTC1000S,IDLE,,,,AMS096EC3001B,,22-01-11 00:47,,,,01/19/2022 MP
BB593,UTC1000S,IDLE,,,,AMS096EC3001B,,22-01-10 19:51,,,,01/20/2022 MP
BB594,UTC1000S,IDLE,,,,AMS096EC3001B,,22-01-11 03:32,,,,01/21/2022 MP
BB595,UTC1000S,RUNNING,R02AWGX03,2200,048TPAW054,AAW048TP1026E,22-01-12 02:26,22-01-11 20:44,MXIC,TSOP1-48/48M,2160,01/19/2022 MP
BB596,UTC1000S,RUNNING,R02AWGX10,2200,048TPAW054,AAW048TP1026E,22-01-12 08:28,22-01-12 02:46,MXIC,TSOP1-48/48M,2160,01/23/2022 MP
BB597,UTC1000S,RUNNING,R02CDAP01,2200,096CACD004,ACD096CA4001B,22-01-13 03:30,22-01-12 04:44,ETRON,FBGA-96UH6B,5548,01/24/2022 MP
BB598,UTC1000S,WAIT-REPAIR,,,,AAB096EL1003A,,22-01-10 15:21,,,,01/25/2022 MP
BB599,UTC1000S,RUNNING,R02CDAY03,2200,084UCCD009,ACD084CC2004B,22-01-12 15:12,22-01-11 23:13,ETRON,FBGA-84UC(2),5600,01/26/2022 MP
BB600,UTC1000S,RUNNING,R02CDAZ03,2200,084UCCD009,ACD084CC2004B,22-01-12 10:20,22-01-11 18:21,ETRON,FBGA-84UC(2),5594,01/27/2022 MP
BB601,UTC1000S,RUNNING,R02MSFS17,2200,048TWMS067,AMS048TW1057A,22-01-12 08:35,22-01-12 02:37,MTI,TSOP1-48AM,2160,01/28/2022 MP
BB602,UTC1000S,RUNNING,R02AWH201,2200,048TPAW054,AAW048TP1026E,22-01-12 09:13,22-01-12 03:32,MXIC,TSOP1-48/48M,2160,01/29/2022 MP
